super_category,scale_2022_gmv,cagr_pct,n_households,quadrant,median_scale,median_cagr_pct
Grocery & Food & Beverage,507237.0,34.3,2014,INVEST,369326.0,24.8
Pet,291030.0,27.2,1350,BET-small,369326.0,24.8
"Home, Kitchen & Bath",1101500.0,26.3,2351,INVEST,369326.0,24.8
"Auto, Tools & Outdoor",251256.0,26.2,1701,BET-small,369326.0,24.8
"Health, Beauty & Personal Care",777216.0,25.0,2380,INVEST,369326.0,24.8
Apparel & Footwear,763456.0,24.8,2249,Boundary,369326.0,24.8
"Office, Stationery & Crafts",154044.0,23.4,1764,HARVEST,369326.0,24.8
"Toys, Games & Hobbies",369326.0,21.4,1808,Boundary,369326.0,24.8
Electronics & Accessories,970000.0,14.7,2424,MAINTAIN,369326.0,24.8
Gift Cards & Digital,249918.0,9.3,1200,HARVEST,369326.0,24.8
Books & Media,191072.0,1.5,1723,HARVEST,369326.0,24.8
